# file...... Result_no_control/Load32_voltage.csv
# date...... Thu Mar 10 17:27:05 2016
# user...... chepeadan
# host...... (null)
# target.... load 982
# trigger... (none)
# interval.. 0
# limit..... 0
# timestamp,voltage_C.real,voltage_C.imag
2000-01-01 05:23:00 EST,+0.0216862,+251.867
2000-01-01 05:24:00 EST,+0.02942,+251.823
2000-01-01 05:25:00 EST,+0.00238686,+251.825
2000-01-01 05:26:00 EST,-0.0296658,+251.82
2000-01-01 05:27:00 EST,-0.0928187,+251.162
2000-01-01 05:28:00 EST,-0.0847891,+251.018
2000-01-01 05:29:00 EST,-0.0707977,+251.02
2000-01-01 05:30:00 EST,-0.00988917,+251.677
2000-01-01 05:31:00 EST,+0.0289572,+251.632
2000-01-01 05:32:00 EST,-0.0207743,+251.658
2000-01-01 05:33:00 EST,-0.0236438,+251.745
2000-01-01 05:34:00 EST,+0.401809,+251.83
2000-01-01 05:35:00 EST,+0.370936,+251.824
2000-01-01 05:36:00 EST,+0.405573,+251.82
2000-01-01 05:37:00 EST,-0.00932612,+251.73
2000-01-01 05:38:00 EST,+0.000101076,+251.722
2000-01-01 05:39:00 EST,+0.0111341,+251.737
2000-01-01 05:40:00 EST,-0.0111458,+251.738
2000-01-01 05:41:00 EST,+0.0431691,+251.761
2000-01-01 05:42:00 EST,+0.0135184,+251.846
2000-01-01 05:43:00 EST,-0.0285946,+251.692
2000-01-01 05:44:00 EST,-0.0303466,+251.497
2000-01-01 05:45:00 EST,+0.0120643,+251.47
2000-01-01 05:46:00 EST,+0.0205646,+251.46
2000-01-01 05:47:00 EST,+0.00796435,+251.494
2000-01-01 05:48:00 EST,+0.0144636,+251.539
2000-01-01 05:49:00 EST,-0.00758392,+251.564
2000-01-01 05:50:00 EST,-0.056001,+251.577
2000-01-01 05:51:00 EST,-0.0372387,+251.569
2000-01-01 05:52:00 EST,-0.0360484,+251.569
2000-01-01 05:53:00 EST,-0.0532577,+251.51
2000-01-01 05:54:00 EST,+0.00812825,+251.428
2000-01-01 05:55:00 EST,+0.310285,+251.363
2000-01-01 05:56:00 EST,+0.319057,+251.36
2000-01-01 05:57:00 EST,+0.303372,+251.428
2000-01-01 05:58:00 EST,-0.0781404,+250.689
2000-01-01 05:59:00 EST,-0.0631924,+250.811
2000-01-01 06:00:00 EST,-0.0587779,+250.91
2000-01-01 06:01:00 EST,+0.487471,+251.824
2000-01-01 06:02:00 EST,+0.491632,+251.836
2000-01-01 06:03:00 EST,+0.434208,+251.823
2000-01-01 06:04:00 EST,-0.00911061,+251.734
2000-01-01 06:05:00 EST,-0.0618759,+251.821
2000-01-01 06:06:00 EST,-0.0773952,+251.935
2000-01-01 06:07:00 EST,-0.0818249,+251.95
2000-01-01 06:08:00 EST,-0.0886615,+251.885
2000-01-01 06:09:00 EST,-0.0676666,+251.907
2000-01-01 06:10:00 EST,-0.0326449,+251.967
2000-01-01 06:11:00 EST,-0.0354227,+251.737
2000-01-01 06:12:00 EST,-0.0512507,+251.779
2000-01-01 06:13:00 EST,-0.0324651,+251.859
2000-01-01 06:14:00 EST,+0.0069049,+251.885
2000-01-01 06:15:00 EST,+0.0388504,+251.768
2000-01-01 06:16:00 EST,+0.121007,+251.764
2000-01-01 06:17:00 EST,+0.176144,+251.757
